Status: HighsModelStatus.kTimeLimit
Objective: 80.00000000000084
Duration: 2400.04s

I_5_0_1_0_1 1.0
I_5_0_2_0_0 1.0
I_5_0_2_0_1 1.0
I_5_1_0_1_1 1.0
I_5_1_0_1_2 1.0
I_5_1_0_1_3 1.0
I_5_1_0_2_1 1.0
I_5_1_0_2_2 1.0
I_5_1_1_0_1 1.0
I_5_1_1_0_2 1.0
I_5_1_1_1_1 1.0
I_5_1_1_1_2 1.0
I_5_1_1_1_3 1.0
I_5_1_2_0_1 1.0
I_5_1_2_0_2 1.0
I_5_2_0_0_0 1.0
I_5_2_0_0_1 1.0
I_5_2_0_0_2 1.0
I_5_2_0_0_3 1.0
I_5_2_0_2_0 1.0
I_5_2_0_2_1 1.0
I_5_2_0_2_2 1.0
I_5_2_1_0_0 1.0
I_5_2_1_0_1 1.0
I_5_2_1_0_2 1.0
I_5_2_1_0_3 1.0
I_5_2_1_1_0 1.0
I_5_2_1_1_1 1.0
I_5_2_1_2_0 1.0
I_5_2_1_2_1 1.0
I_5_2_2_0_0 1.0
I_5_2_2_0_1 1.0
I_5_2_2_0_2 1.0
I_5_2_2_1_0 1.0
I_5_2_2_1_1 1.0
I_5_2_2_2_0 1.0
I_5_2_2_2_1 1.0
I_5_3_0_1_1 1.0
I_5_3_0_1_2 1.0
I_5_3_0_2_1 1.0
I_5_3_0_2_2 1.0
I_5_3_1_0_1 1.0
I_5_3_1_0_2 1.0
I_5_3_1_0_3 1.0
I_5_3_1_1_2 1.0
I_5_3_1_1_3 1.0
I_5_3_2_0_1 1.0
I_5_3_2_0_2 1.0
I_5_3_2_0_3 1.0
I_5_3_2_1_1 1.0
I_5_3_2_2_1 1.0
I_5_3_2_2_2 1.0
I_5_3_2_2_3 1.0
I_5_4_0_1_0 1.0
I_5_4_0_1_1 1.0
I_5_4_0_1_2 1.0
I_5_4_0_2_0 1.0
I_5_4_0_2_1 1.0
I_5_4_0_2_2 1.0
I_5_4_1_0_0 1.0
I_5_4_1_0_1 1.0
I_5_4_1_0_2 1.0
I_5_4_1_0_3 1.0
I_5_4_1_1_0 1.0
I_5_4_1_1_1 1.0
I_5_4_2_0_0 1.0
I_5_4_2_0_1 1.0
I_5_4_2_0_2 1.0
I_5_4_2_1_0 1.0
I_5_4_2_1_1 1.0
T_0_0 16.0
T_0_1 -1.0
T_0_2 -1.0
T_1_1 -1.0
T_1_2 -1.0
T_2_0 4.0
T_2_1 12.0
T_2_2 16.0
T_3_1 -1.0
T_3_2 -1.0
T_4_0 12.0
T_4_1 16.0
T_4_2 -1.0
T_5_1 -1.0
T_5_2 -1.0
W_0_2_1_0 1.0
W_0_2_1_2 1.0
W_0_2_2_0 1.0
W_0_2_2_1 1.0
W_0_2_2_2 1.0
W_0_4_1_0 1.0
W_0_4_1_1 1.0
W_0_4_2_0 1.0
W_0_4_2_1 1.0
W_1_0_0_0 1.0
W_1_0_0_1 1.0
W_1_0_1_0 1.0
W_1_0_1_1 1.0
W_1_0_2_0 1.0
W_1_0_2_1 1.0
W_1_2_0_0 1.0
W_1_2_0_2 1.0
W_1_2_1_0 1.0
W_1_2_1_1 1.0
W_1_2_1_2 1.0
W_1_2_2_0 1.0
W_1_2_2_1 1.0
W_1_2_2_2 1.0
W_1_3_0_0 1.0
W_1_3_1_0 1.0
W_1_3_1_1 1.0
W_1_3_2_0 1.0
W_1_3_2_1 1.0
W_1_4_0_0 1.0
W_1_4_0_1 1.0
W_1_4_1_0 1.0
W_1_4_1_1 1.0
W_1_4_2_0 1.0
W_1_4_2_1 1.0
W_1_5_1_0 1.0
W_1_5_2_0 1.0
W_2_0_2_0 1.0
W_2_4_1_0 1.0
W_2_4_1_1 1.0
W_2_4_2_1 0.9999999999999819
W_3_0_0_0 1.0
W_3_0_1_0 1.0
W_3_0_2_0 1.0
W_3_0_2_1 1.0
W_3_1_2_0 1.0
W_3_2_0_0 1.0
W_3_2_0_2 1.0
W_3_2_1_0 1.0
W_3_2_1_1 1.0
W_3_2_1_2 1.0
W_3_2_2_0 1.0
W_3_2_2_1 1.0
W_3_2_2_2 1.0
W_3_4_0_0 1.0
W_3_4_0_1 1.0
W_3_4_1_0 1.0
W_3_4_1_1 1.0
W_3_4_2_0 1.0
W_3_4_2_1 1.0
W_3_5_2_0 1.0
W_4_0_1_0 1.0000000000000007
W_4_0_2_0 1.0
W_4_2_2_0 1.0
W_4_2_2_2 1.0
W_5_0_0_0 1.0
W_5_0_1_0 1.0
W_5_0_1_1 1.0
W_5_0_2_0 1.0
W_5_0_2_1 1.0
W_5_1_0_0 1.0
